APAR,Is Security,Is HIPER,Description
DT462553,Y,N,IBM MQCVE-2026-2607[CVSS base score 5.1]
DT464471,Y,N,IBM MQCVE-2024-29371[CVSS base score 7.5]
DT466382,Y,N,IBM MQCVE-2025-14915andCVE-2025-14917andCVE-2026-1561[CVSS base score 6.7]
DT440509,N,Y,IBM MQ local or remote queue disappears after it has been created and used by the application
DT448970,N,Y,IBM MQ client applications executed by non-mqm users may experience performance degradation after a system reboot.
DT459574,N,Y,"MQ Managed File Transfer (MFT) agent generates an FDC or ABEND file with a cause of ""BFGEV0004E: An internal error has occurred""."
DT463019,N,Y,"AMQ9456I: ""Update not received for object"" for remote cluster queues"
DT188863,N,N,REFRESH CLUSTER REPOS(YES) results in channel to full repository remaining in STOPPED state
DT260509,N,N,MQ Managed XMS .NET client with reconnect fails due to a StackOverflow exception.
DT428270,N,N,IBM MQ XMS .NET application hangs during reconnect operation.
DT428275,N,N,"Messages returned as ""Modified"" by AMQP clients are not handled correctly by the IBM MQ AMQP service"
DT428330,N,N,IT46004: A Queue Manager thread waiting for a log write may be notified of a successful write 1 byte prematurely
DT429757,N,N,IT43821: AMQ5771E error message reported in queue manager error log when installing a fix pack on AIX
DT429835,N,N,IT47058: IllegalStateException from Apache QPid causes unexpected end of IBM MQ AMQP service
DT435816,N,N,IBM MQ on z/OS unable establish TLS 1.3 FIPS connections to IBM MQ distributed queue managers
DT438469,N,N,IBM MQ queue manager error logs fail to log events after error log file is accessed.
DT438837,N,N,IBM MQ 'mqperfck' command generates reports with all values being '0'
DT439724,N,N,Priority and persistence properties are not set correctly in outbound AMQP message header
DT444846,N,N,"IBM MQ classes for Java, classes for JMS, classes for Jakarta Messaging and resource adapters fail to handle spaces properly in client channel definition table (CCDT) entries."
DT446490,N,N,"IBM MQ reports ""failed to destroy subpools lock for qmgr"" during MQ installation."
DT447799,N,N,"MQ classes for Java, classes for JMS and classes for Jakarta Messaging applications can send uninitialized data to the queue manager."
DT448704,N,N,"In IBM i V7R6M0, IBM MQ job AMQZLAA0 ends abnormally with MCH1210, even when *JOBMSGQFL(WRAP) is enabled."
DT450383,N,N,"MQ LDAP Authorization and Authentication checks take a very long time if OAMLdapConnectTimeout is set in qm.ini, even if it is set to a reasonable value."
DT450505,N,N,IBM MQ mqcertck tool does not correctly handle key repositories in PKCS#12 format.
DT451331,N,N,DEFINE SUB command never returns on a Queue Manager where DEFXMITQ is non-empty but the queue has not been defined
DT451497,N,N,IBM MQ rdqm process terminates with a SIGSEGV error in zslRDCheckAuthorization.
DT452000,N,N,Misleading error comment in FDC generated during AutoConfig stanza processing in Japanese locale.
DT452111,N,N,Date and time entries in autocfgmqsc.LOG are incorrectly displayed when the Japanese locale is used.
DT452228,N,N,"On systems with extremely large disks, the AMQ5782I message may show an incorrect disk usage percentage because of a calculation error."
DT453888,N,N,NullPointerException occurs when closing a JMS or Jakarta Messaging MessageConsumer.
DT455634,N,N,The service trace generated by `mqperfck` was incorrectly written to two separate trace files.
DT455661,N,N,IBM MQ resource adapter throws exception containing reason code MQRC_BACKED_OUT when using dynamically balanced activation specifications
DT456115,N,N,IBM MQ Application Activity Trace generates duplicate event messages when transmitting bulk messages under syncpoint.
DT456825,N,N,Performing concurrent IBM MQ Console or REST API operating system authentication requests can result in FDCs being generated.
DT457367,N,N,Stopping a singular IBM MQ Resource Adapter (RA) deployment destroys all MQ connections across every RA deployment.
DT457794,N,N,IBM MQ IPT requests a TLS certificate from client side even if 'SSLServerAskClientAuth=false'
DT458857,N,N,AMQ9645E certificate label error when using SNI for per-channel certificate selection with PKCS#11 cryptographic stores
DT459211,N,N,"WRKMQMQ with an invalid queue name such as SYSTEM&* can leave the job connected to a Queue Manager. As a result, a later WRKMQM can show other active Queue Managers as INACTIVE."
DT460307,N,N,IBM MQ Bridge to Salesforce fails to to connect to the Salesforce endpoint when configured to use an HTTP Proxy
DT461275,N,N,"IBM MQ MFT Protocol Bridge Agent (PBA) authentication failure incorrectly reports error code ""BFGBR0104E"" instead of ""BFGBR0103E""."
DT461314,N,N,MQ application MQOPEN or MQPUT for an MQ cluster queue returns with MQRC_PUT_INHIBITED but one or more remote instances are not put-disabled
DT461401,N,N,"After using the IBM MQ cluster commands WRKMQMCL or WRKMQMCLQ, Queue Manager status shown by WRKMQM can be incorrect. Active Queue Managers can be displayed as INACTIVE after one of these cluster commands is run on IBM i."
DT463391,N,N,The '-n' parameter was not recognised when running the mqperfck command on windows
DT469515,N,N,Third party component updates for cumulative security update 9.3.0.40
